danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
0.635,0.239,4,-13.924,0,0.0434,0.192,0.0,0.13,0.0724,62.466,audio_features,4JjPLqECP5E48MXcEc2wzA,spotify:track:4JjPLqECP5E48MXcEc2wzA,https://api.spotify.com/v1/tracks/4JjPLqECP5E48MXcEc2wzA,https://api.spotify.com/v1/audio-analysis/4JjPLqECP5E48MXcEc2wzA,193840,4,18
0.457,0.757,1,-5.177,1,0.032,0.0206,0.0,0.146,0.417,102.961,audio_features,2ihCaVdNZmnHZWt0fvAM7B,spotify:track:2ihCaVdNZmnHZWt0fvAM7B,https://api.spotify.com/v1/tracks/2ihCaVdNZmnHZWt0fvAM7B,https://api.spotify.com/v1/audio-analysis/2ihCaVdNZmnHZWt0fvAM7B,266600,4,0
0.412,0.749,2,-4.657,1,0.0404,0.0286,0.0,0.0726,0.264,136.019,audio_features,37928J06bQreiIuhZvRlWQ,spotify:track:37928J06bQreiIuhZvRlWQ,https://api.spotify.com/v1/tracks/37928J06bQreiIuhZvRlWQ,https://api.spotify.com/v1/audio-analysis/37928J06bQreiIuhZvRlWQ,263867,4,20
0.585,0.266,10,-14.692,1,0.0271,0.649,0.00554,0.0903,0.366,93.009,audio_features,6ERQqdIkr7Rp4tt52Eep6r,spotify:track:6ERQqdIkr7Rp4tt52Eep6r,https://api.spotify.com/v1/tracks/6ERQqdIkr7Rp4tt52Eep6r,https://api.spotify.com/v1/audio-analysis/6ERQqdIkr7Rp4tt52Eep6r,281093,4,25
0.741,0.319,0,-9.245,1,0.0296,0.247,0.0,0.105,0.177,100.006,audio_features,6WVtfUA8r0iYmQotCRVp2J,spotify:track:6WVtfUA8r0iYmQotCRVp2J,https://api.spotify.com/v1/tracks/6WVtfUA8r0iYmQotCRVp2J,https://api.spotify.com/v1/audio-analysis/6WVtfUA8r0iYmQotCRVp2J,238627,4,18
0.304,0.415,5,-10.132,1,0.0303,0.112,0.0,0.107,0.186,50.593,audio_features,70zapGEw5KQiHBhjNcGjzo,spotify:track:70zapGEw5KQiHBhjNcGjzo,https://api.spotify.com/v1/tracks/70zapGEw5KQiHBhjNcGjzo,https://api.spotify.com/v1/audio-analysis/70zapGEw5KQiHBhjNcGjzo,281680,4,18
0.545,0.753,3,-4.618,0,0.036,0.0417,0.0,0.389,0.434,105.754,audio_features,76aadnUFFANRNDs6L3aqxw,spotify:track:76aadnUFFANRNDs6L3aqxw,https://api.spotify.com/v1/tracks/76aadnUFFANRNDs6L3aqxw,https://api.spotify.com/v1/audio-analysis/76aadnUFFANRNDs6L3aqxw,282947,4,3
0.584,0.536,10,-8.158,1,0.0279,0.112,0.0,0.456,0.44,126.996,audio_features,6J7cSyvSCnPwv3vqHchEfL,spotify:track:6J7cSyvSCnPwv3vqHchEfL,https://api.spotify.com/v1/tracks/6J7cSyvSCnPwv3vqHchEfL,https://api.spotify.com/v1/audio-analysis/6J7cSyvSCnPwv3vqHchEfL,243227,4,3
0.555,0.257,10,-12.637,1,0.0299,0.892,1.42e-06,0.124,0.431,89.013,audio_features,7iBSkXB0pTvZasOLf0Qxk9,spotify:track:7iBSkXB0pTvZasOLf0Qxk9,https://api.spotify.com/v1/tracks/7iBSkXB0pTvZasOLf0Qxk9,https://api.spotify.com/v1/audio-analysis/7iBSkXB0pTvZasOLf0Qxk9,200756,4,25
0.739,0.511,9,-7.844,1,0.0362,0.167,1.34e-06,0.133,0.542,96.038,audio_features,2nGFzvICaeEWjIrBrL2RAx,spotify:track:2nGFzvICaeEWjIrBrL2RAx,https://api.spotify.com/v1/tracks/2nGFzvICaeEWjIrBrL2RAx,https://api.spotify.com/v1/audio-analysis/2nGFzvICaeEWjIrBrL2RAx,215360,4,11
0.512,0.948,1,-7.923,1,0.0439,0.126,0.0122,0.112,0.607,88.556,audio_features,2BBb3UMJBNlofpC25pbSp4,spotify:track:2BBb3UMJBNlofpC25pbSp4,https://api.spotify.com/v1/tracks/2BBb3UMJBNlofpC25pbSp4,https://api.spotify.com/v1/audio-analysis/2BBb3UMJBNlofpC25pbSp4,193240,4,0
0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,audio_features,3U4isOIWM3VvDubwSI3y7a,spotify:track:3U4isOIWM3VvDubwSI3y7a,https://api.spotify.com/v1/tracks/3U4isOIWM3VvDubwSI3y7a,https://api.spotify.com/v1/audio-analysis/3U4isOIWM3VvDubwSI3y7a,269560,4,2
0.493,0.533,3,-7.221,1,0.0304,0.167,0.0,0.15,0.159,83.022,audio_features,7bcP9k51f1VNCaFUyZ3P5M,spotify:track:7bcP9k51f1VNCaFUyZ3P5M,https://api.spotify.com/v1/tracks/7bcP9k51f1VNCaFUyZ3P5M,https://api.spotify.com/v1/audio-analysis/7bcP9k51f1VNCaFUyZ3P5M,221053,4,18
0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,audio_features,6Vc5wAMmXdKIAM7WUoEb7N,spotify:track:6Vc5wAMmXdKIAM7WUoEb7N,https://api.spotify.com/v1/tracks/6Vc5wAMmXdKIAM7WUoEb7N,https://api.spotify.com/v1/audio-analysis/6Vc5wAMmXdKIAM7WUoEb7N,229400,3,2
0.526,0.328,1,-9.864,1,0.0461,0.694,0.0,0.112,0.11,116.068,audio_features,0SuG9kyzGRpDqrCWtgD6Lq,spotify:track:0SuG9kyzGRpDqrCWtgD6Lq,https://api.spotify.com/v1/tracks/0SuG9kyzGRpDqrCWtgD6Lq,https://api.spotify.com/v1/audio-analysis/0SuG9kyzGRpDqrCWtgD6Lq,526387,4,2
