,id,name,artist,genre,popularity
0,4JjPLqECP5E48MXcEc2wzA,Tainted Love,"['Stella Starlight Trio', 'Karen Souza']",acoustic,35
1,2ihCaVdNZmnHZWt0fvAM7B,Little Talks,['Of Monsters and Men'],acoustic,77
2,37928J06bQreiIuhZvRlWQ,When the Lights Die,['Boyce Avenue'],acoustic,15
3,6ERQqdIkr7Rp4tt52Eep6r,The Look Of Love,['Diana Krall'],acoustic,0
4,6WVtfUA8r0iYmQotCRVp2J,Bette Davis Eyes,['Jazzystics feat. Karen Souza'],acoustic,0
5,70zapGEw5KQiHBhjNcGjzo,Little Hell,['City and Colour'],acoustic,0
6,76aadnUFFANRNDs6L3aqxw,Through Glass,['Stone Sour'],acoustic,46
7,6J7cSyvSCnPwv3vqHchEfL,If It Means a Lot to You,['A Day To Remember'],acoustic,0
8,7iBSkXB0pTvZasOLf0Qxk9,Autumn Leaves - Deluxe Edition,['Ed Sheeran'],acoustic,55
9,2nGFzvICaeEWjIrBrL2RAx,Put Your Records On,['Corinne Bailey Rae'],acoustic,77
10,2BBb3UMJBNlofpC25pbSp4,Call Me In The Afternoon,['Half Moon Run'],acoustic,0
11,3U4isOIWM3VvDubwSI3y7a,All of Me,['John Legend'],acoustic,83
12,7bcP9k51f1VNCaFUyZ3P5M,Life for Rent,['Dido'],acoustic,42
13,6Vc5wAMmXdKIAM7WUoEb7N,Say Something,"['A Great Big World', 'Christina Aguilera']",acoustic,68
14,0SuG9kyzGRpDqrCWtgD6Lq,Give Me Love,['Ed Sheeran'],acoustic,67
15,3GKZKaNY0Stt4swaxz83E5,I Was Made for Loving You,['Sue Ellen'],acoustic,0
16,33e9HtOfO1ye1h8xQ7Foc9,The Cave,['Mumford & Sons'],acoustic,0
17,4eiWWDbWczW2GLqg6Lyg48,Cups,['Lulu & The Lampshades'],acoustic,34
18,2yBAPa9HZj3P2szSaaj4k1,"Down In A Hole - Live at the Majestic Theatre, Brooklyn, NY - April 1996",['Alice In Chains'],acoustic,53
19,6qTmjG7thRJEOaUKFmfjGR,The Last Day on Earth,['Kate Miller-Heidke'],acoustic,44
20,6N001s7hglDhXJyjeXeg4F,Why Am I Crying,['Molly Sandén'],acoustic,26
21,4vojpVoYaj4myAkIcfNKIN,U Smile,['Justin Bieber'],acoustic,0
